Al	1.61
Si	1.90
Ca	1
Sc	1.36
Ti	1.54
V	1.63
Cr	1.66
Mn	1.55
Fe	1.83
Co	1.88
Ni	1.91
Cu	1.90
Zn	1.65
Ga	1.81
Ge	2.01
As	2.12
Sr	0.95
Y	1.22
Zr	1.33
Nb	1.6
Mo	2.16
Ru	2.2
Rh	2.28
Pd	2.20
Ag	1.93
Cd	1.69
In	1.78
Sn	1.96
Sb	2.05
Ba	0.89
Hf	1.3
Ta	1.5
W	2.36
Re	1.9
Os	2.2
Ir	2.20
Pt	2.28
Au	2.54
Hg	2.00
Tl	1.62
Pb	1.87
Bi	2.02
