AB	BN	Z
AB	GeSe	Z
ABB	BiTeI	Z
ABB	CdI2	Y
ABB	GeS2	Y
ABB	MoS2	Y
ABB	MoSSe	Z
AABB	AuSe	Y
AABB	CH	XY
AABB	FeSe	XY
AABB	GaS	XY
AABB	GaSe	XY
AABB	ISb	XY
AABB	NiSe	XY
AABB	PbS	XY
AABB	PbSe	XY
AABB	RhO	Z
AABB	SnS	XY
AABBBB	FeOCl	XYY
AABBBB	MnS2	XYY
AABBBB	PdS2	XYY
AABBBB	WTe2	XY
