H,B
N,B
O,B
F,B
Al,A
Si,A
S,B
Cl,B
Ca,A
Sc,A
Ti,A
V,A
Cr,A
Mn,A
Fe,A
Co,A
Ni,A
Cu,A
Zn,A
Ga,A
Ge,A
As,A
Se,B
Br,B
Sr,A
Y,A
Zr,A
Nb,A
Mo,A
Ru,A
Rh,A
Pd,A
Ag,A
Cd,A
In,A
Sn,A
Sb,A
Te,B
I,B
Ba,A
Hf,A
Ta,A
W,A
Re,A
Os,A
Ir,A
Pt,A
Au,A
Hg,A
Tl,A
Pb,A
Bi,A
