elements
Ag
O
S
Se
Te
Au
Co
Cr
Cu
Fe
Hf
Ir
Mo
Ni
Os
Pb
Pt
Re
Rh
Ru
Sc
Ta
Ti
V
W
Zr
Al
As
N
Sb
Ga
Ge
Hg
In
Sn
Br
Cl
I
Bi
F
Mn
Zn
Pd
Cd
Tl
Ca
Sr
Y
Ba
Si
H
