AlAl
AlSi
AlCa
AlSc
AlTi
AlV
AlCr
AlMn
AlFe
AlCo
AlNi
AlCu
AlZn
AlGa
AlGe
AlAs
AlSr
AlY
AlZr
AlNb
AlMo
AlRu
AlRh
AlPd
AlAg
AlCd
AlIn
AlSn
AlSb
AlBa
AlHf
AlTa
AlW
AlRe
AlOs
AlIr
AlPt
AlAu
AlHg
AlTl
AlPb
AlBi
SiSi
SiCa
SiSc
SiTi
SiV
SiCr
SiMn
SiFe
SiCo
SiNi
SiCu
SiZn
SiGa
SiGe
SiAs
SiSr
SiY
SiZr
SiNb
SiMo
SiRu
SiRh
SiPd
SiAg
SiCd
SiIn
SiSn
SiSb
SiBa
SiHf
SiTa
SiW
SiRe
SiOs
SiIr
SiPt
SiAu
SiHg
SiTl
SiPb
SiBi
CaCa
CaSc
CaTi
CaV
CaCr
CaMn
CaFe
CaCo
CaNi
CaCu
CaZn
CaGa
CaGe
CaAs
CaSr
CaY
CaZr
CaNb
CaMo
CaRu
CaRh
CaPd
CaAg
CaCd
CaIn
CaSn
CaSb
CaBa
CaHf
CaTa
CaW
CaRe
CaOs
CaIr
CaPt
CaAu
CaHg
CaTl
CaPb
CaBi
ScSc
ScTi
ScV
ScCr
ScMn
ScFe
ScCo
ScNi
ScCu
ScZn
ScGa
ScGe
ScAs
ScSr
ScY
ScZr
ScNb
ScMo
ScRu
ScRh
ScPd
ScAg
ScCd
ScIn
ScSn
ScSb
ScBa
ScHf
ScTa
ScW
ScRe
ScOs
ScIr
ScPt
ScAu
ScHg
ScTl
ScPb
ScBi
TiTi
TiV
TiCr
TiMn
TiFe
TiCo
TiNi
TiCu
TiZn
TiGa
TiGe
TiAs
TiSr
TiY
TiZr
TiNb
TiMo
TiRu
TiRh
TiPd
TiAg
TiCd
TiIn
TiSn
TiSb
TiBa
TiHf
TiTa
TiW
TiRe
TiOs
TiIr
TiPt
TiAu
TiHg
TiTl
TiPb
TiBi
VV
VCr
VMn
VFe
VCo
VNi
VCu
VZn
VGa
VGe
VAs
VSr
VY
VZr
VNb
VMo
VRu
VRh
VPd
VAg
VCd
VIn
VSn
VSb
VBa
VHf
VTa
VW
VRe
VOs
VIr
VPt
VAu
VHg
VTl
VPb
VBi
CrCr
CrMn
CrFe
CrCo
CrNi
CrCu
CrZn
CrGa
CrGe
CrAs
CrSr
CrY
CrZr
CrNb
CrMo
CrRu
CrRh
CrPd
CrAg
CrCd
CrIn
CrSn
CrSb
CrBa
CrHf
CrTa
CrW
CrRe
CrOs
CrIr
CrPt
CrAu
CrHg
CrTl
CrPb
CrBi
MnMn
MnFe
MnCo
MnNi
MnCu
MnZn
MnGa
MnGe
MnAs
MnSr
MnY
MnZr
MnNb
MnMo
MnRu
MnRh
MnPd
MnAg
MnCd
MnIn
MnSn
MnSb
MnBa
MnHf
MnTa
MnW
MnRe
MnOs
MnIr
MnPt
MnAu
MnHg
MnTl
MnPb
MnBi
FeFe
FeCo
FeNi
FeCu
FeZn
FeGa
FeGe
FeAs
FeSr
FeY
FeZr
FeNb
FeMo
FeRu
FeRh
FePd
FeAg
FeCd
FeIn
FeSn
FeSb
FeBa
FeHf
FeTa
FeW
FeRe
FeOs
FeIr
FePt
FeAu
FeHg
FeTl
FePb
FeBi
CoCo
CoNi
CoCu
CoZn
CoGa
CoGe
CoAs
CoSr
CoY
CoZr
CoNb
CoMo
CoRu
CoRh
CoPd
CoAg
CoCd
CoIn
CoSn
CoSb
CoBa
CoHf
CoTa
CoW
CoRe
CoOs
CoIr
CoPt
CoAu
CoHg
CoTl
CoPb
CoBi
NiNi
NiCu
NiZn
NiGa
NiGe
NiAs
NiSr
NiY
NiZr
NiNb
NiMo
NiRu
NiRh
NiPd
NiAg
NiCd
NiIn
NiSn
NiSb
NiBa
NiHf
NiTa
NiW
NiRe
