HH
HN
HO
HF
HS
HCl
HSe
HBr
HTe
HI
NH
NN
NO
NF
NS
NCl
NSe
NBr
NTe
NI
OH
ON
OO
OF
OS
OCl
OSe
OBr
OTe
OI
FH
FN
FO
FF
FS
FCl
FSe
FBr
FTe
FI
SH
SN
SO
SF
SS
SCl
SSe
SBr
STe
SI
ClH
ClN
ClO
ClF
ClS
ClCl
ClSe
ClBr
ClTe
ClI
SeH
SeN
SeO
SeF
SeS
SeCl
SeSe
SeBr
SeTe
SeI
BrH
BrN
BrO
BrF
BrS
BrCl
BrSe
BrBr
BrTe
BrI
TeH
TeN
TeO
TeF
TeS
TeCl
TeSe
TeBr
TeTe
TeI
IH
IN
IO
IF
IS
ICl
ISe
IBr
ITe
II
