HHHH
HHHN
HHHO
HHHF
HHHS
HHHCl
HHHSe
HHHBr
HHHTe
HHHI
HNHN
HNHO
HNHF
HNHS
HNHCl
HNHSe
HNHBr
HNHTe
HNHI
HOHO
HOHF
HOHS
HOHCl
HOHSe
HOHBr
HOHTe
HOHI
HFHF
HFHS
HFHCl
HFHSe
HFHBr
HFHTe
HFHI
HSHS
HSHCl
HSHSe
HSHBr
HSHTe
HSHI
HClHCl
HClHSe
HClHBr
HClHTe
HClHI
HSeHSe
HSeHBr
HSeHTe
HSeHI
HBrHBr
HBrHTe
HBrHI
HTeHTe
HTeHI
HIHI
HHNN
HHNO
HHNF
HHNS
HHNCl
HHNSe
HHNBr
HHNTe
HHNI
HNNN
HNNO
HNNF
HNNS
HNNCl
HNNSe
HNNBr
HNNTe
HNNI
HONO
HONF
HONS
HONCl
HONSe
HONBr
HONTe
HONI
HFNF
HFNS
HFNCl
HFNSe
HFNBr
HFNTe
HFNI
HSNS
HSNCl
HSNSe
HSNBr
HSNTe
HSNI
HClNCl
HClNSe
HClNBr
HClNTe
HClNI
HSeNSe
HSeNBr
HSeNTe
HSeNI
HBrNBr
HBrNTe
HBrNI
HTeNTe
HTeNI
HINI
HHOO
HHOF
HHOS
HHOCl
HHOSe
HHOBr
HHOTe
HHOI
HNON
HNOO
HNOF
HNOS
HNOCl
HNOSe
HNOBr
HNOTe
HNOI
HOOO
HOOF
HOOS
HOOCl
HOOSe
HOOBr
HOOTe
HOOI
HFOF
HFOS
HFOCl
HFOSe
HFOBr
HFOTe
HFOI
HSOS
HSOCl
HSOSe
HSOBr
HSOTe
HSOI
HClOCl
HClOSe
HClOBr
HClOTe
HClOI
HSeOSe
HSeOBr
HSeOTe
HSeOI
HBrOBr
HBrOTe
HBrOI
HTeOTe
HTeOI
HIOI
HHFF
HHFS
HHFCl
HHFSe
HHFBr
HHFTe
HHFI
HNFN
HNFO
HNFF
HNFS
HNFCl
HNFSe
HNFBr
HNFTe
HNFI
HOFO
HOFF
HOFS
HOFCl
HOFSe
HOFBr
HOFTe
HOFI
HFFF
HFFS
HFFCl
HFFSe
HFFBr
HFFTe
HFFI
HSFS
HSFCl
HSFSe
HSFBr
HSFTe
HSFI
HClFCl
HClFSe
HClFBr
HClFTe
HClFI
HSeFSe
HSeFBr
HSeFTe
HSeFI
HBrFBr
HBrFTe
HBrFI
HTeFTe
HTeFI
HIFI
HHSS
HHSCl
HHSSe
HHSBr
HHSTe
HHSI
HNSN
HNSO
HNSF
HNSS
HNSCl
HNSSe
HNSBr
HNSTe
HNSI
HOSO
HOSF
HOSS
HOSCl
HOSSe
HOSBr
HOSTe
HOSI
HFSF
HFSS
HFSCl
HFSSe
HFSBr
HFSTe
HFSI
HSSS
HSSCl
HSSSe
HSSBr
HSSTe
HSSI
HClSCl
HClSSe
HClSBr
HClSTe
HClSI
HSeSSe
HSeSBr
HSeSTe
HSeSI
HBrSBr
HBrSTe
HBrSI
HTeSTe
HTeSI
HISI
HHClCl
HHClSe
HHClBr
HHClTe
HHClI
HNClN
HNClO
HNClF
HNClS
HNClCl
HNClSe
HNClBr
HNClTe
HNClI
HOClO
HOClF
HOClS
HOClCl
HOClSe
HOClBr
HOClTe
HOClI
HFClF
HFClS
HFClCl
HFClSe
HFClBr
HFClTe
HFClI
HSClS
HSClCl
HSClSe
HSClBr
HSClTe
HSClI
HClClCl
HClClSe
HClClBr
HClClTe
HClClI
HSeClSe
HSeClBr
HSeClTe
HSeClI
HBrClBr
HBrClTe
HBrClI
HTeClTe
HTeClI
HIClI
HHSeSe
HHSeBr
HHSeTe
HHSeI
HNSeN
HNSeO
HNSeF
HNSeS
HNSeCl
HNSeSe
HNSeBr
HNSeTe
HNSeI
HOSeO
HOSeF
HOSeS
HOSeCl
HOSeSe
HOSeBr
HOSeTe
HOSeI
HFSeF
HFSeS
HFSeCl
HFSeSe
HFSeBr
HFSeTe
HFSeI
HSSeS
HSSeCl
HSSeSe
HSSeBr
HSSeTe
HSSeI
HClSeCl
HClSeSe
HClSeBr
HClSeTe
HClSeI
HSeSeSe
HSeSeBr
HSeSeTe
HSeSeI
HBrSeBr
HBrSeTe
HBrSeI
HTeSeTe
HTeSeI
HISeI
HHBrBr
HHBrTe
HHBrI
HNBrN
HNBrO
HNBrF
HNBrS
HNBrCl
HNBrSe
HNBrBr
HNBrTe
HNBrI
HOBrO
HOBrF
HOBrS
HOBrCl
HOBrSe
HOBrBr
HOBrTe
HOBrI
HFBrF
HFBrS
HFBrCl
HFBrSe
HFBrBr
HFBrTe
HFBrI
HSBrS
HSBrCl
HSBrSe
HSBrBr
HSBrTe
HSBrI
HClBrCl
HClBrSe
HClBrBr
HClBrTe
HClBrI
HSeBrSe
HSeBrBr
HSeBrTe
HSeBrI
HBrBrBr
