HH
HN
HO
HF
HS
HCl
HSe
HBr
HTe
HI
NN
NO
NF
NS
NCl
NSe
NBr
NTe
NI
OO
OF
OS
OCl
OSe
OBr
OTe
OI
FF
FS
FCl
FSe
FBr
FTe
FI
SS
SCl
SSe
SBr
STe
SI
ClCl
ClSe
ClBr
ClTe
ClI
SeSe
SeBr
SeTe
SeI
BrBr
BrTe
BrI
TeTe
TeI
II
