Al
Si
Ca
Sc
Ti
V
Cr
Mn
Fe
Co
Ni
Cu
Zn
Ga
Ge
As
Sr
Y
Zr
Nb
Mo
Ru
Rh
Pd
Ag
Cd
In
Sn
Sb
Ba
Hf
Ta
W
Re
Os
Ir
Pt
Au
Hg
Tl
Pb
Bi
